2025-10-26 11:05:43 | INFO | scrape_logger | Movie Thamma already exists.
2025-10-26 11:05:43 | INFO | scrape_logger | Movie Demon Slayer - Kimetsu no Yaiba - The Movie: Infinity Castle already exists.
2025-10-26 11:05:43 | INFO | scrape_logger | Movie Jurassic World: Rebirth already exists.
2025-10-26 11:05:43 | INFO | scrape_logger | Movie Regretting You already exists.
2025-10-26 11:05:43 | INFO | scrape_logger | Movie Chainsaw Man - The Movie: Reze Arc already exists.
2025-10-26 11:05:43 | INFO | scrape_logger | Movie Idli Kadai already exists.
2025-10-26 11:05:43 | INFO | scrape_logger | Movie No Other Land already exists.
2025-10-26 11:05:43 | INFO | scrape_logger | Movie One Battle After Another already exists.
2025-10-26 11:05:43 | INFO | scrape_logger | Movie Truth & Treason already exists.
2025-10-26 11:05:43 | INFO | scrape_logger | Movie Tron: Ares already exists.
2025-10-26 11:05:43 | INFO | scrape_logger | No new Movies found.
2025-10-26 11:06:36 | INFO | scrape_logger | Attempting to connect to MongoDB...
2025-10-26 11:06:38 | INFO | scrape_logger | Successfully connected to MongoDB.
2025-10-26 11:06:38 | INFO | scrape_logger | Found 20 movies.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Neera already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Moda Tharidu already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Dude already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Bison Kaalamaadan already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Diesel already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Mother Lanka already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Ayu already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Kantara: A Legend Chapter-1 already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie The Conjuring: Last Rites already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie The Royal Opera: Tosca already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Thamma already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Demon Slayer - Kimetsu no Yaiba - The Movie: Infinity Castle already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Jurassic World: Rebirth already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Regretting You already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Chainsaw Man - The Movie: Reze Arc already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Idli Kadai already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie No Other Land already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie One Battle After Another already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Truth & Treason already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | Movie Tron: Ares already exists.
2025-10-26 11:06:38 | INFO | scrape_logger | No new Movies found.
2025-10-26 11:07:10 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:08:37 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:09:41 | INFO | scrape_logger | Attempting to connect to MongoDB...
2025-10-26 11:09:42 | INFO | scrape_logger | Successfully connected to MongoDB.
2025-10-26 11:09:42 | INFO | scrape_logger | Found 20 movies.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Neera already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Moda Tharidu already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Dude already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Bison Kaalamaadan already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Diesel already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Mother Lanka already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Ayu already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Kantara: A Legend Chapter-1 already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie The Conjuring: Last Rites already exists.
